Plan,Precio,Internet,App,Llamadas,SMS
Power Ilim 69.90,S/34.95/mesa partir del mes 7 a s/69.90,Ilimitado 100 GB en alta velocidad,Internet Ilimitado,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Plan Power 29.90,S/29.90/mes,10 GB en alta velocidad,Apps Ilimitadas,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Plan power 39.90,S/39.90/mes,25 GB en alta velocidad,Apps Ilimitadas,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Plan power 49.90,S/49.90/mes,40 GB en alta velocidad,Apps Ilimitadas,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Plan power 59.90,S/59.90/mes,75 GB en alta velocidad,Apps Ilimitadas,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Power Ilim 79.90 SD,S/63.92/mesluego s/79.90/mes,"TODO ILIMITADO GB, llamadas y SMS",Internet Ilimitado,"Llamadas ilimitadasChile, USA, Canadá",SMS Ilimitados
Power Ilim 69.90,S/34.95/mesa partir del mes 7 a s/69.90,Ilimitado 100 GB en alta velocidad,Internet Ilimitado,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Plan Power 29.90,S/29.90/mes,10 GB en alta velocidad,Apps Ilimitadas,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Plan power 39.90,S/39.90/mes,25 GB en alta velocidad,Apps Ilimitadas,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Plan power 49.90,S/49.90/mes,40 GB en alta velocidad,Apps Ilimitadas,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Plan power 59.90,S/59.90/mes,75 GB en alta velocidad,Apps Ilimitadas,"Llamadas ilimitadasChile, USA, Canadá",500 SMS
Power Ilim 79.90 SD,S/63.92/mesluego s/79.90/mes,"TODO ILIMITADO GB, llamadas y SMS",Internet Ilimitado,"Llamadas ilimitadasChile, USA, Canadá",SMS Ilimitados
